Department,Day,Starting.Time,Ending.Time,Course.Title,Course.Code,Subject.Code,Course,Academic.Year,Location,Lecture.Type,Lecturer.in.charge,Lecture.Time,Degree.Type,Stream
Botany,Monday,1970-01-01T08:00:00Z,1970-01-01T15:00:00Z,Practical Module-1,PBT/PBL/MBL 131 1.0,PBT/PBL/MBL,PBT/PBL/MBL 131 1.0 Practical Module-1,1,EL-1,Practical,Dr. Isuru U. Kariyawasam/Mrs. P.K.C. Buddhinie Wijerathne,8:00-15:00,General,Biology
Botany,Tuesday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,Plant Diversity,PBT/PBL/MBL 122 2.0,PBT/PBL/MBL,PBT/PBL/MBL 122 2.0 Plant Diversity,1,B1,Lecture,Dr. Isuru U. Kariyawasam,10:15-12:00,General,Biology
Botany,Wednesday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,Plant Diversity,PBT/PBL/MBL 122 2.0,PBT/PBL/MBL,PBT/PBL/MBL 122 2.0 Plant Diversity,1,B1,Tutorial,Dr. Isuru U. Kariyawasam,8:00-8:50,General,Biology
Botany,Wednesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Cell Biology & Fundamentals of Plant Biochemistry,PBT/PBL/MBL 121 2.0,PBT/PBL/MBL,PBT/PBL/MBL 121 2.0 Cell Biology & Fundamentals of Plant Biochemistry,1,B1,Lecture,Mrs. P.K.C. Buddhinie Wijerathne,13:00-15:00,General,Biology
Botany,Wednesday,1970-01-01T15:00:00Z,1970-01-01T16:00:00Z,Plant Biochemistry,NA,NA,Plant Biochemistry,1,B1,Tutorial,Dr. Isuru U. Kariyawasam/Mrs. P.K.C. Buddhinie Wijerathne,15:00-16:00,General,Biology
Botany,Monday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,Tutorial,NA,NA,Tutorial,2,B1,Tutorial,Dr. Dimuthu S. Manamgoda/Miss. Tharaka Mandakini/ Mrs. P.K.C. Buddhinie Wijerathne,08:00-08:50,General,Biology
Botany,Tuesday,1970-01-01T08:50:00Z,1970-01-01T16:00:00Z,Practical Module-1,PBT/PBL/MBL 231 1.0,PBT/PBL/MBL,PBT/PBL/MBL 231 1.0 Practical Module-1,2,EL-1,Practical,Dr. Dimuthu S. Manamgoda/Miss. Tharaka Mandakini/ Mrs. P.K.C. Buddhinie Wijerathne,08:50-16:00,General,Biology
Botany,Wednesday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,Plant Diversity,NA,NA,NA Plant Diversity,2,,Tutorial,Dr. Isuru U. Kariyawasam,08:00-08:50,General,Biology
Botany,Thursday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,Bioenergetics & Plant Metabolism,PBT/PBL/MBL 221 2.0,PBT/PBL/MBL,PBT/PBL/MBL 221 2.0 Bioenergetics & Plant Metabolism,2,B1,Lecture,Mrs. P.K.C. Buddhinie Wijerathne,10:15-12:00,General,Biology
Botany,Friday,1970-01-01T08:55:00Z,1970-01-01T09:45:00Z,Tutorial,NA,NA,Tutorial,2,B1,Tutorial,Dr. Dimuthu S. Manamgoda/Miss. Tharaka Mandakini/ Mrs. P.K.C. Buddhinie Wijerathne,08:55-09:45,General,Biology
